项目,发布时间,供应商（乙方）,法定代表人,联系方式,合同金额（元）
关于笔记本电脑的框架协议合同公告,2025-03-27 15:04:04,上海维优电子工程有限公司,徐芸(女),021-53060606,80000.00
上海市长江路、军工路、江浦路、周家嘴路隧道养护运维监理的合同公告,2025-03-27 14:44:49,上海浦桥工程建设管理有限公司,李志伟(男),021-53016233,1850000.00
关于物业管理服务的框架协议合同公告,2025-03-27 14:42:02,上海艺顺园艺有限公司,姚美华(女),18917680999,450000.00
重大节点宣传活动的合同公告,2025-03-27 14:41:59,上海新闻晨报杂志社有限公司,秦川(男),13761452549,1490000.00
关于彩色激光多功能一体机的框架协议合同公告,2025-03-27 14:27:00,上海政服贸易有限公司,何风英(女),18912345678,3980.00
关于台式整机的框架协议合同公告,2025-03-27 14:22:54,上海久至臻光电科技有限公司,唐兹豪(男),15121119728,17670.00
上海市区管城市道路养护质量评价的合同公告,2025-03-27 14:19:31,上海城建工程咨询有限公司,吴晓庚(男),18817217381,2350000.00
关于海关监管设施保障运维项目预算评审咨询服务的框架协议合同公告,2025-03-27 14:12:19,上海中洲会计师事务所有限公司,钟国芬(女),18217663626,40000.00
关于打印/复印纸的框架协议合同公告,2025-03-27 14:08:42,诚和致远科技集团有限公司,马会峰(男),13817088193,414.00
关于彩色激光多功能一体机的框架协议合同公告,2025-03-27 14:03:08,上海予发办公设备有限公司,许大江(男),15026667187,4500.00
关于笔记本电脑的框架协议合同公告,2025-03-27 14:00:18,上海宏紫信息科技有限公司,唐琼(女),15000860507,8390.00
关于互联网信息服务的框架协议合同合同变更公告,2025-03-27 13:59:49,无,无,无,无
关于其它服务的框架协议合同公告,2025-03-27 13:52:33,中国特种设备安全与节能促进会,王晓雷(男),18317008625,18300.00
关于预算绩效评价咨询服务的框架协议合同公告,2025-03-27 13:21:32,汉华评值（上海）资产评估有限公司,孔令迪(女),13636519400,50000.00
关于职业考试服务的框架协议合同公告,2025-03-27 13:17:56,上海国际汽车城人才培训学院,唐剑清(男),021-69991021,72522.00
考场监控和人脸识别等的合同公告,2025-03-27 12:54:10,深圳市卓帆技术有限公司,祁长生(男),021-61969067,3690000.00
关于笔记本电脑的框架协议合同公告,2025-03-27 12:18:37,上海长盈办公设备有限公司,沈静(女),021-34198055,100000.00
关于台式整机的框架协议合同公告,2025-03-27 12:17:26,上海长盈办公设备有限公司,沈静(女),021-34198055,120000.00
关于打印/复印纸的框架协议合同公告,2025-03-27 11:53:15,上海豫濮贸易有限公司,刘秋芳(女),13916482840,20230.00
海洋生态保护修复项目竣工后地形地貌与构筑物稳定性监测评估的合同公告,2025-03-27 11:45:54,上海东海海洋工程勘察设计研究院有限公司,郭伟其(男),021-62260313,2316000.00
关于职业考试服务的框架协议合同公告,2025-03-27 11:43:45,上海浦东新区舟桥职业安全健康事务所,徐海江(男),13817967978,25100.00
关于职业考试服务的框架协议合同公告,2025-03-27 11:42:55,上海浦东新区舟桥职业安全健康事务所,徐海江(男),13817967978,71910.00
关于台式整机的框架协议合同公告,2025-03-27 11:38:13,上海良奥信息技术有限公司,李加祥(男),021-62109939,74520.00
关于其他印刷服务的框架协议合同公告,2025-03-27 11:36:03,上海祖欢印刷厂,杨祖欢(男),021-59402421,104600.00
关于彩色激光多功能一体机的框架协议合同公告,2025-03-27 11:32:06,上海御成数码科技有限公司,陈杨阳(女),021-61655060,4999.00
关于投影机的框架协议合同公告,2025-03-27 11:29:55,上海御成数码科技有限公司,陈杨阳(女),021-61655060,14397.00
上海道路交通管理信息二期（市公安局部分）子系统建设项目公告,2025-03-27 11:27:03,上海电科智能系统股份有限公司,巢国平(男),021-28953831,89886600.00
2025年上海金融法院高品质安全保卫服务的合同公告,2025-03-27 11:24:14,上海新世纪房产服务有限公司,陆军(男),18121369500,2788806.00
物业费的合同公告,2025-03-27 11:09:38,上海恒联物业有限公司,忻智发(男),021-66525881,1938180.00
公安交通管理综合应用社会化服务（一期）子系统建设项目公告,2025-03-27 11:08:04,上海天源迪科信息技术有限公司,陈卫(男),021-28953831,23931607.00
黄浦法院南片空调系统节能改造的合同公告,2025-03-27 11:07:19,上海万年建筑安装工程有限公司,王德宝(男),18116380060,1893775.89
关于打印/复印纸的框架协议合同公告,2025-03-27 11:00:24,上海神霖贸易有限公司,万神云(男),021-58581662,1872.00
关于打印/复印纸的框架协议合同公告,2025-03-27 10:59:16,上海神霖贸易有限公司,万神云(男),021-58581662,4110.00
关于笔记本电脑的框架协议合同公告,2025-03-27 10:56:31,上海海德众业信息科技有限公司,沈国柱(男),13918376298,6890.00
关于碎纸机的框架协议合同公告,2025-03-27 10:56:00,上海政采数码技术有限公司,章思虹(女),18939854005,960.00
关于笔记本电脑的框架协议合同公告,2025-03-27 10:55:46,上海海德众业信息科技有限公司,沈国柱(男),13918376298,6980.00
关于彩色激光多功能一体机的框架协议合同公告,2025-03-27 10:54:12,上海冠德科贸有限公司,杨江鹏(男),15800338159,4400.00
关于打印/复印纸的框架协议合同公告,2025-03-27 10:52:06,上海骞千贸易有限公司,张建国(男),021-68065516,7125.00
关于打印/复印纸的框架协议合同公告,2025-03-27 10:48:57,上海政采数码技术有限公司,章思虹(女),13801880696,2640.00
关于其他印刷服务的框架协议合同公告,2025-03-27 10:47:03,上海商务联西印刷有限公司,龙爱军(男),15801849276,399997.00
上海市市场监督管理局2025年质量监督抽查（儿童及婴幼儿服装、定配眼镜等）项目的合同公告,2025-03-27 10:44:48,东华大学,俞建勇(男),021-64220000,300000.00
关于互联网信息服务的框架协议合同公告,2025-03-27 10:42:11,中国电信股份有限公司上海分公司,龚勃(男),021-35968049,279120.00
关于碎纸机的框架协议合同公告,2025-03-27 10:38:17,上海理惠办公设备有限公司,宣杏仙(女),15800338159,1189.00
上海市第一社会福利院2025年度职工食堂食材采购项目的合同公告,2025-03-27 10:30:20,上海高校后勤服务股份有限公司,陈辉(男),13801703323,1188320.00
关于打印/复印纸的框架协议合同公告,2025-03-27 10:24:42,上海咏炜商贸有限公司,王江(男),17761988098,9999.50
关于物业管理服务的框架协议合同公告,2025-03-27 10:22:31,上海陆家嘴物业管理有限公司,蔡宏图(男),18116228105,145656.15
关于其他印刷服务的框架协议合同公告,2025-03-27 10:20:07,上海华教印务有限公司,夏洁成(男),02165640560,29649.50
关于2024年度上海国际贸易单一窗口运维资金审计的框架协议合同公告,2025-03-27 10:19:16,上海沪汇会计师事务所（普通合伙）,黄国忠(男),13501633484,156600.00
上海市儿童福利院社会化用工采购项目（低龄儿童）的合同合同变更公告,2025-03-27 10:19:11,无,无,无,无
关于会计审计的框架协议合同公告,2025-03-27 10:19:03,上海天城会计师事务所有限公司,陈其(男),021-64396267,137610.00
关于2024年度上海国际贸易单一窗口运维资金绩效评价咨询服务的框架协议合同公告,2025-03-27 10:14:17,上海云拓管理咨询有限公司,顾美娟(女),021-63292550,116800.00
关于彩色激光多功能一体机的框架协议合同公告,2025-03-27 10:05:25,上海肃诚办公设备有限公司,王震华(男),15800338159,4730.00
展示维保项目-展台硬件设备维修维护的合同公告,2025-03-27 09:57:05,深圳市丝路蓝创意展示有限公司,李萌迪(男),18901702906,2999800.00
关于互联网信息服务的框架协议合同公告,2025-03-27 09:39:48,上海科技网络通信有限公司,赵海鸿(男),18721632281,216000.00
关于预算绩效评价咨询服务的框架协议合同公告,2025-03-27 09:39:30,上海中创海佳会计师事务所有限公司,王茹(女),021-22880000,40000.00
关于资产评估服务的框架协议合同公告,2025-03-27 09:30:37,上海立信资产评估有限公司,杨伟暾(男),13601798887,30000.00
关于彩色激光多功能一体机的框架协议合同公告,2025-03-27 09:21:36,上海潘多星实业有限公司,胡春花(女),13761624377,3000.00
关于打印/复印纸的框架协议合同公告,2025-03-27 09:10:23,上海予发办公设备有限公司,许大江(男),15800338159,11588.90
关于UPS电源的框架协议合同公告,2025-03-27 09:07:48,上海菁卓网络科技有限公司,赵海燕(女),13361862388,200000.00
上海市儿童福利院社会化用工采购项目（低龄儿童）的合同公告,2025-03-27 08:50:30,上海莱康海坚商业管理有限公司,王海斌(男),13901949101,8676000.00
关于打印/复印纸的框架协议合同（2025年3月）公告,2025-03-27 08:03:25,上海予发办公设备有限公司,许大江(男),13918919331,2000.00
关于台式整机的框架协议合同公告,2025-03-26 22:01:06,上海政信电子科技有限公司,李世锋(男),13818735430,175500.00
关于其他印刷服务的框架协议合同公告,2025-03-26 20:33:36,上海辉越数码图文设计有限公司,陈宇珍(女),021-55058225,166500.00
关于会计审计的框架协议合同公告,2025-03-26 19:47:06,北京澄宇会计师事务所（特殊普通合伙）上海分所,马玉平(男),15800338159,30000.00
国控入海河流水质管控（中央环保督察整改）的合同公告,2025-03-26 18:54:11,"上海华闵环境股份有限公司,上海成境环保科技有限公司",曾智超(男),021-23117418,1525000.00
办公中心A区C区中央空调管道系统更新工程项目的合同公告,2025-03-26 18:49:10,上海昀翔建筑工程有限公司,程迂洲(男),15821197184,3897932.91
耕地质量评价的合同公告,2025-03-26 17:55:38,上海市岩土工程检测中心有限公司,钱骏(男),021-63193188,991600.00
占补平衡指标入库内外业审核技术支持的合同公告,2025-03-26 17:54:40,上海市岩土工程检测中心有限公司,钱骏(男),021-63193188,1192000.00
闵行区浦江镇市级土地整治项目（全域）可行性研究、规划设计及概算编制的合同公告,2025-03-26 17:52:02,上海城策行建筑规划设计咨询有限公司,詹运洲(男),021-63192207,1660218.00
上海市防汛减灾地理信息服务保障的合同公告,2025-03-26 17:48:36,上海市测绘院,魏子新(男),021-52397000,2395000.00
关于其他印刷服务的框架协议合同（制度汇编60册）公告,2025-03-26 17:22:59,上海铁路印刷有限公司,陈建宇(男),18017187567,16200.00
轨交骨干线路预控和沿线地区规划研究—成本收益测算的合同公告,2025-03-26 17:03:27,上海市自然资源调查利用研究院,王寒梅(女),021-63193188,996000.00
耕地和永久基本农田情况分析评价与外业核查的合同公告,2025-03-26 17:02:32,上海市自然资源调查利用研究院,王寒梅(女),021-63193188,1298000.00
关于台式整机的框架协议合同公告,2025-03-26 16:57:25,上海海德众业信息科技有限公司,沈国柱(男),021-50493833,24000.00
关于资产报废评估服务的框架协议合同公告,2025-03-26 16:56:24,上海信达资产评估有限公司,韩世新(男),13917706236,16500.00
江河入海生态边界监测的合同公告,2025-03-26 16:43:10,"上海谱诺检测技术有限公司,上海艾利维水环境技术有限公司",陈建祥(男),021-51363000,1021416.00
关于其他印刷服务的框架协议合同公告,2025-03-26 16:40:35,上海商务联西印刷有限公司,龙爱军(男),021-22880000,15600.00
关于其他印刷服务的框架协议合同公告,2025-03-26 16:39:38,上海商务联西印刷有限公司,龙爱军(男),021-62482920,21252.00
政府采购框架协议采购货物合同—国顺食堂二楼洗碗间5P嵌入式空调1台公告,2025-03-26 16:31:57,上海高校华实空调设备有限公司,虞宏峰(男),021-53078222,19570.00
政府采购框架协议采购货物合同—中原校区民生学院3P挂机空调5台公告,2025-03-26 16:31:13,上海高校华实空调设备有限公司,虞宏峰(男),021-53078222,39280.00
职工食堂农副产品供给的合同公告,2025-03-26 16:28:04,上海捷锐农业发展有限公司,王庭峰(男),021-59461327,1700000.00
服务对象食堂农副产品供给的合同公告,2025-03-26 16:26:42,上海捷锐农业发展有限公司,王庭峰(男),021-59461327,6473600.00
2025年多媒体展项维保项目的合同公告,2025-03-26 16:26:20,上海美术设计有限公司,沈弘(男),021-64836153,1980000.00
